PlatePair NData lat_degN lon_degE om_degMyr a b c d e f
AU-AN 167/19/0 11.3 41.8 0.633 2.60 1.85 0.97 2.18 0.18 1.04
CP-AN 35/1/0 17.2 32.8 0.580 55.09 30.12 -61.66 116.24 -52.93 81.69
LW-AN 16/6/0 -1.2 -33.6 0.133 3.06 2.29 -3.67 2.17 -3.11 4.86
NB-AN 59/4/0 -6.2 -34.3 0.158 2.25 0.48 -2.50 0.36 -0.72 3.22
NZ-AN 60/21/0 33.1 -96.3 0.477 0.11 0.34 -0.25 6.67 1.27 4.94
PA-AN 48/10/0 -65.1 99.8 0.870 0.81 1.00 0.13 3.62 -1.19 3.60
SM-AN 29/2/0 11.2 -56.7 0.140 1.89 3.41 -2.07 7.55 -4.54 3.33
EU-NA 453/5/0 61.8 139.6 0.210 0.18 -0.13 -0.07 0.14 0.07 0.13
NB-NA 161/4/0 79.2 40.2 0.233 0.95 -0.74 0.55 0.76 -0.43 0.66
AR-NB 45/0/0 30.9 23.6 0.403 33.74 30.02 17.99 29.24 17.99 11.66
CO-NZ 88/2/0 1.6 -143.5 0.636 4.59 0.60 0.04 15.41 -0.59 1.23
CO-PA 61/6/0 37.4 -109.4 2.005 9.52 16.31 -3.27 76.68 -15.69 7.92
JF-PA 27/1/0 -0.6 37.8 0.625 101.40 130.64 -156.42 174.03 -207.87 255.74
NZ-PA 42/15/0 52.7 -88.6 1.326 3.82 5.78 2.55 21.19 6.14 6.72
RI-PA 26/3/0 25.7 -104.8 4.966 235.85 773.86 -283.97 2566.19 -941.95 352.07
NB-SA 99/27/0 60.9 -39.0 0.295 0.17 -0.06 0.00 0.07 -0.04 0.32
SW-SC 18/4/0 -32.0 -32.2 1.316 1432.85 -798.88 -2569.96 548.04 1512.83 4693.34
AR-SM 51/5/0 22.7 26.5 0.429 4.24 4.49 0.96 5.40 1.01 0.50
CP-SM 56/10/0 16.9 45.8 0.570 4.30 5.54 0.73 11.90 -2.54 3.10
IN-SM 113/2/22 22.7 30.6 0.408 1.50 1.48 -0.43 3.32 0.24 0.91
AN-SR 9/2/0 85.7 -139.3 0.317 35.43 -4.86 -52.83 1.14 7.24 80.63
NB-SR 25/2/0 70.6 -60.9 0.346 43.94 -1.69 -59.58 1.66 3.53 83.23
