#lon(degE) lat(degN)
-0.4379 -54.8518
-0.0388 -54.6772
0.4432 -54.4512
0.9645 -54.8322
1.6948 -54.3990
2.3598 -54.0374
3.0254 -53.6507
3.3689 -53.8341
3.9564 -54.1267
4.4146 -54.4303
4.8266 -54.1616
5.0837 -54.3093
5.4947 -54.5429
6.1837 -54.1145
6.6254 -53.8142
7.2373 -54.1012
7.7724 -54.3960
8.7982 -53.6666
9.4287 -53.2328
9.9941 -52.7932
10.5433 -53.0644
10.9755 -53.3317
11.7061 -52.7819
12.2983 -52.3754
12.8958 -51.9631
13.2045 -52.1397
13.7872 -52.4770
14.4627 -51.9975
15.1108 -52.3065
15.4263 -52.0829
15.8216 -51.7877
16.9059 -52.1691
17.8041 -52.4674
18.5373 -52.7344
18.7104 -52.5537
19.9918 -52.8166
21.2520 -52.9102
22.5043 -53.0496
23.0740 -53.0972
23.0213 -53.2001
23.8851 -53.3101
24.6841 -53.4224
25.2297 -53.4688
25.9899 -52.3778
27.8250 -52.9352
29.1417 -50.8694
29.5220 -50.9690
30.7676 -49.0410
31.2028 -49.1695
31.8850 -48.2118
32.6666 -46.9380
33.4945 -47.1402
34.0603 -45.9996
34.8913 -46.1864
35.5658 -44.7164
36.5142 -44.9398
36.5965 -44.7902
38.1937 -44.4010
38.3383 -44.0547
39.0729 -44.1648
39.4588 -43.2862
41.5578 -43.5794
41.8120 -42.6553
42.4686 -42.7299
42.8729 -40.8505
44.0092 -40.9150
44.0230 -40.6708
44.6858 -40.6911
44.7160 -40.3689
45.3027 -40.3659
45.3318 -40.1085
46.0744 -40.1190
46.2444 -38.8699
48.0234 -38.6507
48.0171 -38.4780
48.6326 -38.0142
49.0344 -37.9999
49.0366 -37.7917
49.9451 -37.7902
49.9622 -37.5968
50.8233 -37.5799
50.8270 -37.4507
52.2827 -37.4322
52.3380 -36.1624
53.4665 -36.1409
53.4706 -35.5167
54.2161 -35.3024
54.2551 -34.5416
55.2747 -34.5605
55.3010 -34.2872
55.6987 -34.2350
55.7379 -33.6528
56.4006 -33.6268
57.0607 -33.5542
57.0912 -32.8350
57.1530 -31.7706
57.8000 -31.7220
58.4563 -31.6910
58.5299 -31.0553
59.1667 -31.0497
59.1880 -30.5671
60.0054 -30.5607
60.7628 -30.5315
60.7473 -30.0145
60.7624 -29.9990
60.8102 -28.9313
61.5322 -28.9199
61.5176 -28.7772
62.1619 -28.8114
62.1351 -28.4896
62.7462 -28.4585
62.7030 -28.1525
63.2112 -28.1640
63.1942 -28.0214
63.6211 -28.0388
63.6037 -27.8313
64.4669 -27.8175
65.3321 -27.8122
65.3475 -27.5141
66.3590 -27.5145
66.3730 -27.2811
67.1290 -27.2692
67.1555 -26.8674
67.4240 -26.8699
67.4333 -26.5715
67.9622 -26.5830
67.9791 -26.2906
68.6219 -26.2625
68.5979 -26.1206
68.8197 -26.1410
68.8294 -26.0089
69.1500 -25.9933
69.1379 -25.7843
69.4603 -25.7822
69.4900 -25.6762
69.9595 -25.6512
nan nan
58.2392 12.7455
57.8675 13.0023
57.6392 13.1377
57.7327 13.3090
57.8096 13.4509
57.6891 13.5225
57.4775 13.6430
57.3015 13.7400
57.2990 13.7718
57.1397 13.8476
56.9688 13.9372
57.0372 14.0681
56.9031 14.1407
56.7616 14.2076
56.8188 14.3021
56.5989 14.4222
56.4100 14.5322
56.2079 14.6433
56.1791 14.6213
56.0574 14.6411
55.8218 14.6923
55.6685 14.7216
55.6312 14.6814
55.4800 14.7292
55.2778 14.7885
55.1084 14.8505
55.0473 14.7116
54.9576 14.7272
54.7308 14.8010
54.5489 14.8698
54.5110 14.7601
54.4505 14.6210
54.3873 14.6399
54.3319 14.6707
54.2874 14.6814
54.2493 14.6914
54.1926 14.7096
54.1494 14.7328
54.0687 14.7722
54.0177 14.6573
53.9287 14.4894
53.8625 14.3509
53.8180 14.3615
53.5790 14.4408
53.3584 14.5118
53.2202 14.5623
53.2113 14.5379
53.1222 14.5586
52.9071 14.6221
52.7370 14.6813
52.6672 14.5615
52.5469 14.5972
52.2992 14.6625
52.1389 14.6887
51.9400 14.3530
51.7625 14.0283
51.5698 13.6673
51.4487 13.4576
51.3429 13.2718
51.2532 13.1223
51.0790 13.1923
50.8416 13.2794
50.6615 13.3618
50.5730 13.2181
50.4294 13.2725
50.3102 13.3125
50.2524 13.2290
50.1673 13.1225
50.0614 13.1675
49.8491 13.2512
49.6800 13.3128
49.5926 13.1686
49.4721 13.0078
49.4296 13.0419
49.3490 12.8973
49.2784 12.8019
49.0705 12.8528
48.8820 12.9084
48.8025 12.7698
48.6992 12.6576
48.5671 12.6906
48.4479 12.7289
48.3487 12.5726
48.2675 12.6023
48.1420 12.6407
48.0479 12.6710
47.9914 12.5807
47.9014 12.4611
47.7883 12.4923
47.6494 12.5185
47.5875 12.4409
47.5389 12.3687
47.3190 12.4301
47.1613 12.4630
47.1303 12.3587
47.0489 12.3877
46.9923 12.4030
46.9297 12.3002
46.8487 12.2108
46.7168 12.2482
46.5789 12.2921
46.5108 12.2019
46.4290 12.0875
46.3107 12.1425
46.1976 12.1724
46.1503 12.1123
46.1097 12.0581
45.8509 12.1002
45.6496 12.1519
45.6372 12.1586
45.6018 12.0730
45.5218 11.9829
45.4280 12.0176
45.3277 12.0525
45.2811 11.9983
45.0969 11.9989
44.9132 12.0116
44.8817 12.0189
44.7802 12.0224
44.5131 12.0126
44.0493 12.0080
43.6495 12.0127
43.3488 12.6917
43.1256 13.1536
42.6452 13.6833
42.3930 13.9584
42.2716 14.3981
42.2132 14.7747
41.9834 15.3004
41.7504 15.7219
41.2112 16.2091
40.6237 16.5902
40.0549 17.1792
39.8343 17.8516
39.5895 18.4192
39.2979 19.0289
38.8261 19.4475
38.3957 19.9075
38.0745 20.3891
37.9747 21.0213
37.8253 21.8434
37.5398 22.4945
37.0425 23.2259
