Plate_ID wX wY wZ cxx cxy cxz cyy cyz czz
Am -1.746969 -1.824311 5.121903 0.857324 -1.063607 -1.096796 1.347375 1.378061 1.438827
An -1.431031 -1.481635 3.358330 0.002206 0.000481 -0.001042 0.005049 -0.008574 0.028016
Ar 5.653346 0.285876 7.109457 0.110933 0.107269 0.082829 0.111556 0.083046 0.072361
At 10.231864 5.029467 10.335698 101.943568 65.724799 100.431138 42.396490 64.759834 98.973900
Au 7.046423 5.557522 6.250947 0.009488 -0.009391 0.007173 0.012160 -0.008208 0.009718
Ca -0.056119 -3.751012 2.903333 0.029068 -0.061974 0.019386 0.144467 -0.044556 0.020405
Cs -1.131332 -3.247545 4.836032 0.253516 -0.454367 -0.297816 0.831822 0.542589 0.366409
Eu -0.499530 -2.309197 3.821139 0.002968 0.000972 0.004096 0.000727 0.001536 0.007045
In 4.852852 -1.208854 6.795223 0.064093 0.289369 0.072830 1.335119 0.335702 0.088999
Na 0.658291 -3.411026 -0.144969 0.000114 -0.000075 0.000066 0.001038 -0.000799 0.000962
Nu 0.459991 -2.658697 3.484752 0.007755 -0.000608 0.001160 0.001553 -0.000336 0.004719
Nz -1.329904 -7.952151 7.910255 0.015252 0.034933 0.015391 0.140454 0.058358 0.036803
Ok 3.107407 -5.000841 -4.587389 1.822874 -1.538042 -1.838730 1.317255 1.561148 1.884001
Pa -1.923772 4.589783 -10.300427 0.009299 0.001117 -0.000448 0.002121 -0.000067 0.005219
Ph 9.423451 -5.530138 -11.523673 0.316389 -0.337266 -0.192008 0.370821 0.208181 0.131048
Sa -1.189878 -1.174240 -0.809045 0.015218 -0.013617 -0.003420 0.015430 0.003466 0.005410
So -0.644017 -3.150603 4.346639 0.002358 0.002195 -0.000185 0.002151 -0.000177 0.000253
Sr -2.860888 -7.064668 1.463571 0.615256 1.043353 -0.941995 1.777408 -1.602858 1.452819
Su 0.285162 -5.332412 4.302467 0.128464 -0.464367 0.020302 1.736351 -0.075708 0.016525
