Plate_ID wX wY wZ cxx cxy cxz cyy cyz czz
Am -1.746969e-3 -1.824311e-3 5.121903e-3 0.857324 -1.063607 -1.096796 1.347375 1.378061 1.438827
An -1.431031e-3 -1.481635e-3 3.358330e-3 0.002206 0.000481 -0.001042 0.005049 -0.008574 0.028016
Ar 5.653346e-3 0.285876e-3 7.109457e-3 0.110933 0.107269 0.082829 0.111556 0.083046 0.072361
At 10.231864e-3 5.029467e-3 10.335698e-3 101.943568 65.724799 100.431138 42.396490 64.759834 98.973900
Au 7.046423e-3 5.557522e-3 6.250947e-3 0.009488 -0.009391 0.007173 0.012160 -0.008208 0.009718
Ca -0.056119e-3 -3.751012e-3 2.903333e-3 0.029068 -0.061974 0.019386 0.144467 -0.044556 0.020405
Cs -1.131332e-3 -3.247545e-3 4.836032e-3 0.253516 -0.454367 -0.297816 0.831822 0.542589 0.366409
Eu -0.499530e-3 -2.309197e-3 3.821139e-3 0.002968 0.000972 0.004096 0.000727 0.001536 0.007045
In 4.852852e-3 -1.208854e-3 6.795223e-3 0.064093 0.289369 0.072830 1.335119 0.335702 0.088999
Na 0.658291e-3 -3.411026e-3 -0.144969e-3 0.000114 -0.000075 0.000066 0.001038 -0.000799 0.000962
Nu 0.459991e-3 -2.658697e-3 3.484752e-3 0.007755 -0.000608 0.001160 0.001553 -0.000336 0.004719
Nz -1.329904e-3 -7.952151e-3 7.910255e-3 0.015252 0.034933 0.015391 0.140454 0.058358 0.036803
Ok 3.107407e-3 -5.000841e-3 -4.587389e-3 1.822874 -1.538042 -1.838730 1.317255 1.561148 1.884001
Pa -1.923772e-3 4.589783e-3 -10.300427e-3 0.009299 0.001117 -0.000448 0.002121 -0.000067 0.005219
Ph 9.423451e-3 -5.530138e-3 -11.523673e-3 0.316389 -0.337266 -0.192008 0.370821 0.208181 0.131048
Sa -1.189878e-3 -1.174240e-3 -0.809045e-3 0.015218 -0.013617 -0.003420 0.015430 0.003466 0.005410
Sm -0.644017e-3 -3.150603e-3 4.346639e-3 0.002358 0.002195 -0.000185 0.002151 -0.000177 0.000253
Sr -2.860888e-3 -7.064668e-3 1.463571e-3 0.615256 1.043353 -0.941995 1.777408 -1.602858 1.452819
Su 0.285162e-3 -5.332412e-3 4.302467e-3 0.128464 -0.464367 0.020302 1.736351 -0.075708 0.016525
